0,English,Hindi
I would like some tea - मुझे चाय चाहिए,I would like some tea , मुझे चाय चाहिए
I prefer coffee - मुझे कॉफी पसंद है,I prefer coffee , मुझे कॉफी पसंद है
"Can I have the menu, please? - क्या मुझे मेनू मिल सकता है?","Can I have the menu, please? ", क्या मुझे मेनू मिल सकता है?
The food is delicious - खाना बहुत स्वादिष्ट है,The food is delicious , खाना बहुत स्वादिष्ट है
I am vegetarian - मैं शाकाहारी हूँ,I am vegetarian , मैं शाकाहारी हूँ
I don't eat meat - मैं मांस नहीं खाता हूँ,I don't eat meat , मैं मांस नहीं खाता हूँ
Can I have some water? - क्या मुझे थोड़ा पानी मिल सकता है?,Can I have some water? , क्या मुझे थोड़ा पानी मिल सकता है?
This is too spicy - यह बहुत मसालेदार है,This is too spicy , यह बहुत मसालेदार है
Where can I park my car? - मैं अपनी गाड़ी कहाँ पार्क कर सकता हूँ?,Where can I park my car? , मैं अपनी गाड़ी कहाँ पार्क कर सकता हूँ?
Is this seat taken? - क्या यह सीट ली हुई है?,Is this seat taken? , क्या यह सीट ली हुई है?
I would like a window seat - मुझे खिड़की वाली सीट चाहिए,I would like a window seat , मुझे खिड़की वाली सीट चाहिए
Where is my baggage? - मेरा सामान कहाँ है?,Where is my baggage? , मेरा सामान कहाँ है?
I need to exchange money - मुझे पैसे बदलने हैं,I need to exchange money , मुझे पैसे बदलने हैं
Can I make a reservation? - क्या मैं आरक्षण करवा सकता हूँ?,Can I make a reservation? , क्या मैं आरक्षण करवा सकता हूँ?
I am here on vacation - मैं यहाँ छुट्टी पर हूँ,I am here on vacation , मैं यहाँ छुट्टी पर हूँ
I need a guide - मुझे एक गाइड चाहिए,I need a guide , मुझे एक गाइड चाहिए
Where is the tourist center? - टूरिस्ट सेंटर कहाँ है?,Where is the tourist center? , टूरिस्ट सेंटर कहाँ है?
Can you take a photo of me? - क्या आप मेरी फोटो खींच सकते हैं?,Can you take a photo of me? , क्या आप मेरी फोटो खींच सकते हैं?
Please smile - कृपया मुस्कुराइए,Please smile , कृपया मुस्कुराइए
Don't forget your passport - अपना पासपोर्ट भूलना मत,Don't forget your passport , अपना पासपोर्ट भूलना मत
I need some rest - मुझे थोड़ा आराम चाहिए,I need some rest , मुझे थोड़ा आराम चाहिए
I am feeling tired - मैं थका हुआ महसूस कर रहा हूँ,I am feeling tired , मैं थका हुआ महसूस कर रहा हूँ
Let's meet tomorrow - चलो कल मिलते हैं,Let's meet tomorrow , चलो कल मिलते हैं
I have a question - मेरे पास एक सवाल है,I have a question , मेरे पास एक सवाल है
Where can I buy medicine? - मैं दवा कहाँ खरीद सकता हूँ?,Where can I buy medicine? , मैं दवा कहाँ खरीद सकता हूँ?
I need some help - मुझे कुछ मदद चाहिए,I need some help , मुझे कुछ मदद चाहिए
Please don't touch this - कृपया इसे मत छूएं,Please don't touch this , कृपया इसे मत छूएं
Where can I find food? - मुझे खाना कहाँ मिलेगा?,Where can I find food? , मुझे खाना कहाँ मिलेगा?
Let's celebrate - चलो जश्न मनाते हैं,Let's celebrate , चलो जश्न मनाते हैं
I am sorry - मुझे खेद है,I am sorry , मुझे खेद है
Excuse me - माफ़ कीजिए,Excuse me , माफ़ कीजिए
What is your phone number? - आपका फ़ोन नंबर क्या है?,What is your phone number? , आपका फ़ोन नंबर क्या है?
Where is the nearest ATM? - सबसे नज़दीकी एटीएम कहाँ है?,Where is the nearest ATM? , सबसे नज़दीकी एटीएम कहाँ है?
Can I get a receipt? - क्या मुझे रसीद मिल सकती है?,Can I get a receipt? , क्या मुझे रसीद मिल सकती है?
What is the price? - कीमत क्या है?,What is the price? , कीमत क्या है?
Where is the bus stop? - बस स्टॉप कहाँ है?,Where is the bus stop? , बस स्टॉप कहाँ है?
I am feeling cold - मुझे ठंड लग रही है,I am feeling cold , मुझे ठंड लग रही है
I am feeling hot - मुझे गर्मी लग रही है,I am feeling hot , मुझे गर्मी लग रही है
Can I borrow your pen? - क्या मैं आपकी कलम उधार ले सकता हूँ?,Can I borrow your pen? , क्या मैं आपकी कलम उधार ले सकता हूँ?
I am busy right now - मैं अभी व्यस्त हूँ,I am busy right now , मैं अभी व्यस्त हूँ
Please wait here - कृपया यहाँ प्रतीक्षा करें,Please wait here , कृपया यहाँ प्रतीक्षा करें
Let's go shopping - चलो खरीदारी करने चलें,Let's go shopping , चलो खरीदारी करने चलें
I need a charger - मुझे चार्जर चाहिए,I need a charger , मुझे चार्जर चाहिए
Can you fix this? - क्या आप इसे ठीक कर सकते हैं?,Can you fix this? , क्या आप इसे ठीक कर सकते हैं?
I am late - मैं देर से आ रहा हूँ,I am late , मैं देर से आ रहा हूँ
What are you doing? - आप क्या कर रहे हैं?,What are you doing? , आप क्या कर रहे हैं?
I like reading books - मुझे किताबें पढ़ना पसंद है,I like reading books , मुझे किताबें पढ़ना पसंद है
Let's go to the park - चलो पार्क चलें,Let's go to the park , चलो पार्क चलें
Where is the library? - पुस्तकालय कहाँ है?,Where is the library? , पुस्तकालय कहाँ है?
Please write it down - कृपया इसे लिख दीजिए,Please write it down , कृपया इसे लिख दीजिए
I need an umbrella - मुझे छाता चाहिए,I need an umbrella , मुझे छाता चाहिए
This is my friend - यह मेरा दोस्त है,This is my friend , यह मेरा दोस्त है
Do you have change? - क्या आपके पास छुट्टे हैं?,Do you have change? , क्या आपके पास छुट्टे हैं?
Let's take a break - चलो ब्रेक लें,Let's take a break , चलो ब्रेक लें
